row,name,topic,party,gender,tweet_count
0,RepByrne,house,1,M,319
1,FrankPallone,trump,-1,M,626
2,RepJeffDuncan,house,1,M,230
3,RepDanKildee,house,-1,M,280
4,RepRickLarsen,americans,-1,M,315
5,gracenapolitano,house,-1,F,226
6,RepDaveJoyce,house,1,M,90
7,RepDonBeyer,house,-1,M,2027
8,RepDebHaaland,house,-1,F,416
9,RepTomReed,congress,1,M,95
10,jahimes,house,-1,M,205
11,RepRWilliams,house,1,M,118
12,RepEspaillat,congress,-1,M,498
13,SenBobCasey,congress,-1,M,354
14,RepRaulGrijalva,house,-1,M,520
15,SenKamalaHarris,act,-1,F,493
16,RepTedDeutch,house,-1,M,555
17,RepDwightEvans,bill,-1,M,870
18,SenFeinstein,house,-1,F,484
19,RepWilson,house,-1,F,247
20,NitaLowey,trump,-1,F,260
21,RepMarkWalker,house,1,M,281
22,RepVeasey,americans,-1,M,257
23,RepMaloney,congress,-1,F,768
24,SenRonJohnson,congress,1,M,100
25,RepJayapal,congress,-1,F,1260
26,RepSwalwell,house,-1,M,341
27,RepTomSuozzi,congress,-1,M,60
28,senrobportman,act,1,M,482
29,SenDuckworth,house,-1,F,577
30,RepMikeQuigley,house,-1,M,446
31,RepDonaldPayne,congress,-1,M,172
32,RepRichHudson,congress,1,M,132
33,RepHaleyStevens,president,-1,F,329
34,RepDarrenSoto,bill,-1,M,354
35,SenJohnHoeven,house,1,M,78
36,SenStabenow,house,-1,F,197
37,RepBonamici,congress,-1,F,597
38,LeaderHoyer,house,-1,M,944
39,WhipHoyer,house,-1,M,2
40,JimInhofe,president,1,M,113
41,RepSamGraves,congress,1,M,134
42,RepJaredPolis,congress,-1,,1
43,SenBooker,house,-1,M,120
44,janschakowsky,congress,-1,F,458
45,RepBeatty,house,-1,F,360
46,SenatorCardin,americans,-1,M,228
47,RepLloydDoggett,congress,-1,M,744
48,RepBryanSteil,congress,1,M,145
49,RepKevinBrady,house,1,M,313
50,RepAnnieKuster,congress,-1,F,281
51,RandPaul,trump,1,M,136
52,RepBonnie,congress,-1,F,445
53,RepJohnCurtis,congress,1,M,170
54,SenWhitehouse,congress,-1,M,565
55,SenThomTillis,bill,1,M,130
56,RepDelBene,congress,-1,F,273
57,RepAlLawsonJr,congress,-1,M,75
58,JudgeCarter,house,1,M,79
59,RepHastingsFL,house,-1,M,214
60,RodneyDavis,house,1,M,199
61,RepSmucker,congress,1,M,127
62,RepDerekKilmer,bill,-1,M,256
63,SenTedCruz,bill,1,M,391
64,Call_Me_Dutch,house,-1,M,207
65,RepSires,congress,-1,M,375
66,AustinScottGA08,congress,1,M,75
67,NydiaVelazquez,house,-1,F,627
