,tweet_screen_name,gender,party,retweet_count,mentions_count,hashtags_count,Total_Interaction
0,AustinScottGA08,M,R,87,501,337,925
1,BennieGThompson,M,D,528,1543,746,2817
2,BettyMcCollum04,F,D,289,2163,1989,4441
3,BillPascrell,M,D,252,4994,2117,7363
4,BobbyScott,M,D,474,1663,911,3048
5,BradSherman,M,D,113,911,911,1935
6,Call_Me_Dutch,M,D,368,2324,1661,4353
7,ChrisVanHollen,M,D,139,1205,308,1652
8,ChuckGrassley,M,R,11,413,477,901
9,Clyburn,M,D,0,1,1,2
10,ConawayTX11,M,R,87,294,165,546
11,CongBoyle,M,D,405,1066,1199,2670
12,CongMikeSimpson,M,R,273,1068,615,1956
13,CongPalazzo,M,R,733,2313,1245,4291
14,CongressmanGT,M,R,219,1451,2295,3965
15,CongressmanHice,F,R,709,4702,1200,6611
16,CongressmanJVD,M,R,54,361,435,850
17,CongressmanRaja,M,D,721,4177,1670,6568
18,CongressmanRuiz,,D,61,364,319,744
19,DesJarlaisTN04,M,R,924,2279,595,3798
20,DevinNunes,,R,429,1786,288,2503
21,DonaldNorcross,M,D,99,1351,1706,3156
22,DorisMatsui,F,D,116,769,818,1703
23,DrNealDunnFL2,M,R,304,923,627,1854
24,DrPhilRoe,M,R,200,821,198,1219
25,EleanorNorton,F,D,271,1807,1680,3758
26,FrankLoBiondoNJ,,R,0,7,8,15
27,FrankPallone,M,D,60,2181,1795,4036
28,GKButterfield,M,D,538,1579,1331,3448
29,GOPLeader,M,R,3094,7597,2292,12983
30,GReschenthaler,M,R,380,2013,579,2972
31,GerryConnolly,M,D,489,2132,582,3203
32,GrassleyPress,,R,1111,5927,1263,8301
33,GuamCongressman,,D,0,36,43,79
34,HerreraBeutler,F,R,40,458,186,684
35,HurdOnTheHill,M,R,73,1024,594,1691
36,InhofePress,,R,22,155,12,189
37,JacksonLeeTX18,F,D,2321,6727,3035,12083
38,JeffFlake,,R,0,3,1,4
39,JeffFortenberry,M,R,9,371,500,880
40,JerryMoran,M,R,104,2199,800,3103
41,JimInhofe,M,R,133,2319,801,3253
42,JimLangevin,M,D,88,2583,2203,4874
43,JimPressOffice,M,R,197,569,111,877
44,Jim_Jordan,M,R,605,2064,558,3227
45,JoaquinCastrotx,M,D,3771,11976,2159,17906
46,JohnBoozman,M,R,455,2871,1901,5227
47,JohnCornyn,M,R,6005,17491,5272,28768
48,JudgeCarter,M,R,309,954,1122,2385
49,JudgeTedPoe,,R,0,0,0,0
50,KenCalvert,M,R,328,1655,808,2791
51,LeaderHoyer,M,D,676,5141,4724,10541
52,MacTXPress,M,R,166,498,118,782
53,MarioDB,M,R,960,3906,2664,7530
54,MarkAmodeiNV2,M,R,3,186,111,300
55,MarkWarner,M,D,669,3333,1039,5041
56,MarshaBlackburn,F,R,573,4244,1042,5859
57,MartinHeinrich,M,D,229,1240,815,2284
58,McConnellPress,,R,906,6248,2421,9575
59,MikeCrapo,M,R,918,2410,1412,4740
60,MikeKellyPA,M,R,320,934,455,1709
61,NancyPelosi,F,D,0,0,0,0
62,NitaLowey,F,D,343,1647,748,2738
63,NormaJTorres,F,D,604,3872,3136,7612
64,NydiaVelazquez,F,D,1243,6521,3875,11639
65,PatrickMcHenry,M,R,71,781,747,1599
66,PattyMurray,F,D,290,2659,2798,5747
67,PeterWelch,M,D,72,450,485,1007
68,RandPaul,M,R,419,1644,322,2385
69,RepAGonzalez,M,R,120,1174,663,1957
70,RepAbraham,M,R,125,580,269,974
71,RepAdamSchiff,M,D,11,840,93,944
72,RepAdamSmith,M,D,248,1515,1343,3106
73,RepAdams,F,D,1094,5200,3677,9971
74,RepAdrianSmith,M,R,92,748,480,1320
75,RepAlGreen,M,D,170,959,666,1795
76,RepAlGreenTX,,D,1,15,19,35
77,RepAlLawsonJr,M,D,135,563,1277,1975
78,RepAlexMooney,M,R,438,1345,655,2438
79,RepAmata,,R,1,48,5,54
80,RepAndreCarson,M,D,156,858,1013,2027
81,RepAndyBarr,M,R,133,1086,399,1618
