,rep_a,rep_b
0,RepByrne,repdonyoung
1,repdonyoung,RepMarthaRoby
2,RepMarthaRoby,repdonyoung
3,repdonyoung,RepMikeRogersAL
4,RepMikeRogersAL,repdonyoung
5,repdonyoung,Robert_Aderholt
6,Robert_Aderholt,repdonyoung
7,RepTerriSewell,repdonyoung
8,repdonyoung,RepRickCrawford
9,RepRickCrawford,repdonyoung
10,RepFrenchHill,repdonyoung
11,rep_stevewomack,repdonyoung
12,repdonyoung,RepWesterman
13,RepOHalleran,repdonyoung
14,repdonyoung,RepGosar
15,RepGosar,repdonyoung
16,RepAndyBiggsAZ,repdonyoung
17,RepDavid,repdonyoung
18,repdonyoung,RepRubenGallego
19,RepRubenGallego,repdonyoung
20,repdonyoung,RepDLesko
21,RepDLesko,repdonyoung
22,RepGaramendi,repdonyoung
23,RepSpeier,repdonyoung
24,repdonyoung,RepJimmyPanetta
25,RepJimmyPanetta,repdonyoung
26,repdonyoung,GOPLeader
27,GOPLeader,repdonyoung
28,repdonyoung,RepMikeGarcia
29,RepMikeGarcia,repdonyoung
30,RepBrownley,repdonyoung
31,BradSherman,repdonyoung
32,RepTedLieu,repdonyoung
33,KenCalvert,repdonyoung
34,RepLowenthal,repdonyoung
35,repdonyoung,RepTipton
36,RepTipton,repdonyoung
37,repdonyoung,RepDLamborn
38,RepDLamborn,repdonyoung
39,RepJoeCourtney,repdonyoung
40,RepRutherfordFL,repdonyoung
41,RepGusBilirakis,repdonyoung
42,RepRossSpano,repdonyoung
43,RepGregSteube,repdonyoung
44,repdonyoung,MarioDB
45,MarioDB,repdonyoung
46,repdonyoung,AustinScottGA08
47,AustinScottGA08,repdonyoung
48,repdonyoung,RepDougCollins
49,RepDougCollins,repdonyoung
50,CongressmanHice,repdonyoung
51,TulsiPress,repdonyoung
52,repdonyoung,SteveKingIA
53,repdonyoung,RepRussFulcher
54,RepRussFulcher,repdonyoung
55,CongMikeSimpson,repdonyoung
56,CongressmanRaja,repdonyoung
57,janschakowsky,repdonyoung
58,RepSchneider,repdonyoung
59,RepBost,repdonyoung
60,repdonyoung,RodneyDavis
61,repdonyoung,RepShimkus
62,RepShimkus,repdonyoung
63,repdonyoung,RepKinzinger
64,RepKinzinger,repdonyoung
65,RepLaHood,repdonyoung
66,RepWalorski,repdonyoung
67,RepJimBaird,repdonyoung
68,repdonyoung,SusanWBrooks
69,SusanWBrooks,repdonyoung
70,RepLarryBucshon,repdonyoung
71,RepTrey,repdonyoung
72,RepRonEstes,repdonyoung
73,RepAndyBarr,repdonyoung
74,repdonyoung,SteveScalise
75,SteveScalise,repdonyoung
76,RepMikeJohnson,repdonyoung
77,RepGolden,repdonyoung
78,Call_Me_Dutch,repdonyoung
79,repdonyoung,RepHuizenga
80,RepHuizenga,repdonyoung
81,repdonyoung,justinamash
82,justinamash,repdonyoung
83,repdonyoung,RepFredUpton
84,RepFredUpton,repdonyoung
85,RepWalberg,repdonyoung
86,RepPaulMitchell,repdonyoung
87,repdonyoung,RepDebDingell
88,RepDebDingell,repdonyoung
89,repdonyoung,RepPeteStauber
90,RepPeteStauber,repdonyoung
91,repdonyoung,RepAnnWagner
92,RepAnnWagner,repdonyoung
93,RepSamGraves,repdonyoung
94,USRepLong,repdonyoung
95,RepTrentKelly,repdonyoung
96,CongPalazzo,repdonyoung
97,RepHolding,repdonyoung
98,repdonyoung,virginiafoxx
99,virginiafoxx,repdonyoung
100,repdonyoung,PatrickMcHenry
101,PatrickMcHenry,repdonyoung
102,repdonyoung,RepArmstrongND
103,RepArmstrongND,repdonyoung
104,repdonyoung,JeffFortenberry
105,JeffFortenberry,repdonyoung
106,repdonyoung,RepDonBacon
107,RepDonBacon,repdonyoung
108,repdonyoung,RepAdrianSmith
109,repdonyoung,RepChrisPappas
110,RepChrisPappas,repdonyoung
111,repdonyoung,CongressmanJVD
112,repdonyoung,RepSherrill
113,repdonyoung,RepDebHaaland
114,repdonyoung,MarkAmodeiNV2
115,MarkAmodeiNV2,repdonyoung
116,repdonyoung,RepLeeZeldin
117,RepLeeZeldin,repdonyoung
118,RepKathleenRice,repdonyoung
119,RepMaxRose,repdonyoung
120,RepJoseSerrano,repdonyoung
121,repdonyoung,RepStefanik
122,RepStefanik,repdonyoung
123,repdonyoung,RepSteveChabot
124,RepBradWenstrup,repdonyoung
125,repdonyoung,Jim_Jordan
126,repdonyoung,RepBillJohnson
127,RepBillJohnson,repdonyoung
128,repdonyoung,RepBobGibbs
129,RepBobGibbs,repdonyoung
130,repdonyoung,RepMikeTurner
131,RepMikeTurner,repdonyoung
132,RepDaveJoyce,repdonyoung
133,RepSteveStivers,repdonyoung
134,repkevinhern,repdonyoung
135,RepMullin,repdonyoung
136,RepKendraHorn,repdonyoung
137,repdonyoung,RepBonamici
138,RepBrianFitz,repdonyoung
139,RepCartwright,repdonyoung
140,RepMeuser,repdonyoung
141,RepScottPerry,repdonyoung
142,repdonyoung,RepSmucker
143,RepSmucker,repdonyoung
144,repdonyoung,CongressmanGT
145,CongressmanGT,repdonyoung
146,MikeKellyPA,repdonyoung
147,repdonyoung,RepJeffDuncan
148,RepJeffDuncan,repdonyoung
149,repdonyoung,RepTimmons
150,RepTimmons,repdonyoung
151,RepTomRice,repdonyoung
152,repdonyoung,DrPhilRoe
153,DrPhilRoe,repdonyoung
154,RepTimBurchett,repdonyoung
155,DesJarlaisTN04,repdonyoung
156,RepJohnRose,repdonyoung
157,repdonyoung,replouiegohmert
158,replouiegohmert,repdonyoung
159,repdonyoung,RepKevinBrady
160,repdonyoung,RepMcCaul
161,RepMcCaul,repdonyoung
162,ConawayTX11,repdonyoung
163,RepKayGranger,repdonyoung
164,repdonyoung,RepBillFlores
165,RepBillFlores,repdonyoung
166,RepArrington,repdonyoung
167,RepPeteOlson,repdonyoung
168,repdonyoung,RepKenMarchant
169,RepKenMarchant,repdonyoung
170,RepRWilliams,repdonyoung
171,repdonyoung,michaelcburgess
172,michaelcburgess,repdonyoung
173,repdonyoung,RepCloudTX
174,RepCloudTX,repdonyoung
175,JudgeCarter,repdonyoung
176,RepBrianBabin,repdonyoung
177,repdonyoung,RepJohnCurtis
178,RepJohnCurtis,repdonyoung
179,repdonyoung,RobWittman
180,RobWittman,repdonyoung
181,repdonyoung,RepMGriffith
182,RepMGriffith,repdonyoung
183,repdonyoung,RepRickLarsen
184,RepRickLarsen,repdonyoung
185,repdonyoung,HerreraBeutler
186,HerreraBeutler,repdonyoung
187,repdonyoung,RepNewhouse
188,RepNewhouse,repdonyoung
189,repdonyoung,cathymcmorris
190,cathymcmorris,repdonyoung
191,repmarkpocan,repdonyoung
192,RepMcKinley,repdonyoung
193,RepAlexMooney,repdonyoung
194,repdonyoung,RepLizCheney
195,RepLizCheney,repdonyoung
196,RepByrne,RepMarthaRoby
197,RepMarthaRoby,RepByrne
198,RepByrne,RepMikeRogersAL
199,RepMikeRogersAL,RepByrne
200,RepByrne,Robert_Aderholt
201,Robert_Aderholt,RepByrne
202,RepByrne,RepMoBrooks
203,RepMoBrooks,RepByrne
204,RepByrne,USRepGaryPalmer
205,USRepGaryPalmer,RepByrne
206,RepByrne,RepTerriSewell
207,RepTerriSewell,RepByrne
208,RepByrne,RepRickCrawford
209,RepByrne,RepFrenchHill
210,RepFrenchHill,RepByrne
211,RepByrne,rep_stevewomack
212,rep_stevewomack,RepByrne
213,RepByrne,RepWesterman
214,RepByrne,RepGosar
215,RepGosar,RepByrne
216,RepByrne,RepAndyBiggsAZ
217,RepAndyBiggsAZ,RepByrne
218,RepByrne,RepDavid
219,RepDavid,RepByrne
220,RepByrne,RepRubenGallego
221,RepRubenGallego,RepByrne
222,RepByrne,RepDLesko
223,RepDLesko,RepByrne
224,RepGregStanton,RepByrne
225,RepByrne,RepLaMalfa
226,RepLaMalfa,RepByrne
227,RepByrne,RepMcClintock
228,RepByrne,RepPaulCook
229,RepByrne,SpeakerPelosi
230,RepByrne,RepBarbaraLee
231,RepByrne,RepSwalwell
232,RepSwalwell,RepByrne
233,RepAnnaEshoo,RepByrne
234,RepByrne,GOPLeader
235,GOPLeader,RepByrne
236,BradSherman,RepByrne
237,RepByrne,RepTedLieu
238,RepByrne,KenCalvert
239,RepByrne,RepMaxineWaters
240,RepLowenthal,RepByrne
241,RepDianaDeGette,RepByrne
242,RepByrne,RepTipton
243,RepTipton,RepByrne
244,RepByrne,RepKenBuck
245,RepKenBuck,RepByrne
246,RepByrne,RepDLamborn
247,RepDLamborn,RepByrne
248,RepByrne,RepPerlmutter
249,RepByrne,RepMattGaetz
250,RepMattGaetz,RepByrne
251,RepByrne,DrNealDunnFL2
252,DrNealDunnFL2,RepByrne
253,RepByrne,RepTedYoho
254,RepRutherfordFL,RepByrne
255,RepAlLawsonJr,RepByrne
256,RepByrne,congbillposey
257,RepValDemings,RepByrne
258,RepByrne,RepWebster
259,RepByrne,RepGusBilirakis
260,RepGusBilirakis,RepByrne
