sen_a,sen_b
lisamurkowski,SenDanSullivan
SenDanSullivan,lisamurkowski
SenDougJones,lisamurkowski
lisamurkowski,SenShelby
SenShelby,lisamurkowski
lisamurkowski,JohnBoozman
JohnBoozman,lisamurkowski
lisamurkowski,SenTomCotton
SenatorSinema,lisamurkowski
lisamurkowski,SenFeinstein
SenFeinstein,lisamurkowski
lisamurkowski,SenatorBennet
SenatorBennet,lisamurkowski
lisamurkowski,SenCoryGardner
SenCoryGardner,lisamurkowski
lisamurkowski,SenBlumenthal
SenBlumenthal,lisamurkowski
lisamurkowski,SenatorCarper
SenatorCarper,lisamurkowski
lisamurkowski,ChrisCoons
ChrisCoons,lisamurkowski
lisamurkowski,SenRubioPress
SenRubioPress,lisamurkowski
SenRickScott,lisamurkowski
SenatorLoeffler,lisamurkowski
lisamurkowski,sendavidperdue
sendavidperdue,lisamurkowski
lisamurkowski,maziehirono
maziehirono,lisamurkowski
lisamurkowski,SenBrianSchatz
lisamurkowski,SenJoniErnst
SenJoniErnst,lisamurkowski
lisamurkowski,ChuckGrassley
lisamurkowski,MikeCrapo
MikeCrapo,lisamurkowski
lisamurkowski,SenatorRisch
SenatorRisch,lisamurkowski
SenDuckworth,lisamurkowski
lisamurkowski,SenatorDurbin
SenatorDurbin,lisamurkowski
SenatorBraun,lisamurkowski
lisamurkowski,SenToddYoung
SenToddYoung,lisamurkowski
lisamurkowski,JerryMoran
JerryMoran,lisamurkowski
lisamurkowski,SenPatRoberts
SenPatRoberts,lisamurkowski
lisamurkowski,senatemajldr
senatemajldr,lisamurkowski
RandPaul,lisamurkowski
SenJohnKennedy,lisamurkowski
lisamurkowski,SenMarkey
SenMarkey,lisamurkowski
SenWarren,lisamurkowski
lisamurkowski,SenatorCardin
SenatorCardin,lisamurkowski
lisamurkowski,ChrisVanHollen
lisamurkowski,SenatorCollins
SenatorCollins,lisamurkowski
lisamurkowski,SenAngusKing
lisamurkowski,SenGaryPeters
SenGaryPeters,lisamurkowski
lisamurkowski,SenStabenow
SenStabenow,lisamurkowski
SenAmyKlobuchar,lisamurkowski
